goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateMoves50-8   	 9999716	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9233140	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9917174	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9524035	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9833671	       124 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9445464	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9752354	       128 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9677403	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9836217	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9913503	       120 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9995859	       121 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9997033	       125 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9305578	       126 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateMoves50-8   	 9446452	       123 ns/op	       0 B/op	       0 allocs/op
BenchmarkPerft-8             	       1	8784002800 ns/op	2098570768 B/op	15880304 allocs/op
BenchmarkPerft-8             	       1	8752963400 ns/op	2098572688 B/op	15880324 allocs/op
BenchmarkPerft-8             	       1	9676036000 ns/op	2098573072 B/op	15880328 allocs/op
BenchmarkPerft-8             	       1	8655999300 ns/op	2098570864 B/op	15880305 allocs/op
BenchmarkPerft-8             	       1	8564033900 ns/op	2098575568 B/op	15880354 allocs/op
BenchmarkPerft-8             	       1	8693998600 ns/op	2098575088 B/op	15880349 allocs/op
BenchmarkPerft-8             	       1	8528001900 ns/op	2098573648 B/op	15880334 allocs/op
BenchmarkPerft-8             	       1	8446000000 ns/op	2098571920 B/op	15880316 allocs/op
BenchmarkPerft-8             	       1	8462963700 ns/op	2098572592 B/op	15880323 allocs/op
BenchmarkPerft-8             	       1	8513283400 ns/op	2098574032 B/op	15880338 allocs/op
BenchmarkPerft-8             	       1	8583036200 ns/op	2098572208 B/op	15880319 allocs/op
BenchmarkPerft-8             	       1	8728997400 ns/op	2098575568 B/op	15880354 allocs/op
