goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves50-8   	10603404	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10615119	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10522364	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10619176	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10710861	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10714352	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10709982	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10709762	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10711081	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10619581	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10807460	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10806439	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10623454	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves50-8   	10586678	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkPerft-8                  	       1	7249696400 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7281168000 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                  	       1	7417365900 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                  	       1	7296998600 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7276478500 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7293571300 ns/op	75195088 B/op	   73436 allocs/op
BenchmarkPerft-8                  	       1	7259249100 ns/op	75195088 B/op	   73436 allocs/op
