goos: windows
goarch: amd64
pkg: github.com/GeorgeBills/chess/m/v2/engine
BenchmarkGenerateLegalMoves/40-8         	 6031623	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6030183	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6029770	       199 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6089944	       199 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6056714	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6089950	       199 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6089994	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6056380	       197 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6059234	       199 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6090238	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6090327	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/40-8         	 6030189	       198 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10714552	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10807704	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10709895	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10806555	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10709781	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10624310	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10616254	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10711100	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10711023	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10711254	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10710374	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10810965	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10699534	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10714476	       113 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10714687	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10807656	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10709676	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10714381	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10619505	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkGenerateLegalMoves/50-8         	10623774	       112 ns/op	       0 B/op	       0 allocs/op
BenchmarkPerft-8                         	       1	7260985700 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7224139700 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7259997400 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7262001700 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7250997100 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7249349900 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7261119000 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7418217300 ns/op	75195568 B/op	   73441 allocs/op
BenchmarkPerft-8                         	       1	7379379800 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7466036500 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7276999000 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7267188000 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7304988900 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7293232200 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7207351300 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7251488300 ns/op	75195184 B/op	   73437 allocs/op
BenchmarkPerft-8                         	       1	7255033000 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7255963700 ns/op	75195280 B/op	   73438 allocs/op
BenchmarkPerft-8                         	       1	7238196300 ns/op	75195376 B/op	   73439 allocs/op
BenchmarkPerft-8                         	       1	7258036700 ns/op	75195472 B/op	   73440 allocs/op
PASS
ok  	github.com/GeorgeBills/chess/m/v2/engine	395.305s
